标题,简介,url地址
【双语财讯】全球央行掀“购金热” 中国一季度金饰消费大涨,中国金饰消费总量同比增长11%，环比增长56%，是2015年以来金饰需求最强劲的一季度表现。,http://img2.chinadaily.com.cn/images/202305/06/6455fbfaa310b60580cc6f56.jpeg
世卫宣布新冠疫情不再构成“国际关注的突发公共卫生事件”,世界卫生组织总干事谭德塞5日宣布，新冠疫情不再构成“国际关注的突发公共卫生事件”。,http://img2.chinadaily.com.cn/images/202305/06/6455f2d0a310b60580cc6f0a.jpeg
每日一词∣野生动物保护 protection of wildlife,修订后的《野生动物保护法》加强对野生动物栖息地的保护，并细化野生动物种群调控措施。,http://img2.chinadaily.com.cn/images/202305/05/6454c7e8a310b60580cc635f.jpeg
一课译词：自给自足,“自给自足”，意思是依靠自己的生产，满足自身需求。可以翻译为“self-sufficient，be able to support oneself”等。,http://img2.chinadaily.com.cn/images/202305/05/6454c4cfa310b60580cc630e.jpeg
【双语财讯】第133届广交会第二期出口成交超过45亿美元,本届广交会第二期集中展示了日用消费品、礼品、家居装饰品等轻工产品，参展企业近1.2万家。,http://img2.chinadaily.com.cn/images/202305/05/6454b15ba310b60580cc6126.jpeg
科学家通过合成“基因震荡器”延长细胞寿命，实现高效抗衰,加州大学圣地亚哥分校郝楠团队通过合成生物学重新编程细胞衰老的过程，在酵母细胞内设计了一个合成基因振荡器，将酵母细胞寿命延长了82%。,http://img2.chinadaily.com.cn/images/202305/05/6454aed2a310b60580cc6060.jpeg
美国普通员工收入停滞不前 高管薪酬涨幅却轻松跑赢通胀,去年美国首席执行官的平均收入上涨了7.7%。入选薪酬前100名的首席执行官的平均收入是普通员工平均收入的288倍。,http://img2.chinadaily.com.cn/images/202305/05/64549b2ca310b60580cc5f40.jpeg
Flipping the switch? 按动开关,Flipping the switch意思是按动开关，引申义为突然做出巨大变动。,http://img2.chinadaily.com.cn/images/202305/05/645483fca310b60580cc5eae.jpeg
双语新闻播报（May 4）,今日播报内容：中国地名，上火星了；欧洲空气污染每年导致至少1200名儿童早夭。,http://img2.chinadaily.com.cn/images/202305/04/64537d23a310b60580cc52df.jpeg
一课译词：代驾,代驾，是指专业驾驶人员驾驶车主的车将其送至指定地点并收取一定费用的行为。可以翻译为“designated driving”。,http://img2.chinadaily.com.cn/images/202305/04/64537b0ba310b60580cc52d2.jpeg
麦当劳再曝童工丑闻！美童工问题愈演愈烈，非法雇用童工激增69%,美国劳工部调查发现，有300多名儿童在麦当劳餐厅非法工作，其中包括肯塔基州路易斯维尔一家麦当劳餐厅的两名10岁儿童。,http://img2.chinadaily.com.cn/images/202305/04/64537a8aa310b60580cc52bf.jpeg
每日一词∣共青团员member of the Communist Youth League,共青团中央3日发布的中国共青团团内统计公报显示，截至2022年12月底，全国共有共青团员7358.3万名。,http://img2.chinadaily.com.cn/images/202305/04/64537410a310b60580cc52a9.png
6个步骤提高你的情商,情商是指辨别和管理自身及他人情绪的能力，情商包含3个技能：认识情绪、利用情绪和管理情绪的能力。,http://img2.chinadaily.com.cn/images/202305/04/64535b26a310b60580cc50d1.jpeg
“五一”假期预计全国营业性客运量超2.7亿人次,交通运输部数据显示，“五一”假期，全国铁路、公路、水路、民航预计发送旅客超2.7亿人次，比去年同期增长162.9%。,http://img2.chinadaily.com.cn/images/202305/04/64535366a310b60580cc5039.jpeg
【双语财讯】“五一”假期旅游火热带动国内经济复苏,无论是凭烧烤“出圈”的淄博，还是北京、成都等传统热门旅游地，甚至是小众旅游地，都交出了一份亮眼的成绩单。,http://img2.chinadaily.com.cn/images/202305/05/645459f7a310b60580cc5941.jpeg
